operator,kwargs,input_shape,cpu_time,gpu_time
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=2","(1, 16, 640, 640)",0.648ms,0.241ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=2","(8, 16, 96, 96)",0.519ms,0.051ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=2","(8, 16, 256, 256)",0.751ms,0.306ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=32,stride=2","(8, 16, 640, 640)",2.228ms,1.756ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=1","(1, 16, 96, 96)",0.513ms,0.046ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=1","(1, 16, 256, 256)",0.786ms,0.256ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=1","(1, 16, 640, 640)",1.977ms,1.530ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=1","(8, 16, 96, 96)",0.77ms,0.289ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=1","(8, 16, 256, 256)",2.443ms,1.927ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=1","(8, 16, 640, 640)",12.550ms,12.021ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=2","(1, 16, 96, 96)",0.45ms,0.028ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=2","(1, 16, 256, 256)",0.501ms,0.091ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=2","(1, 16, 640, 640)",0.849ms,0.46ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=2","(8, 16, 96, 96)",0.506ms,0.091ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=2","(8, 16, 256, 256)",1.014ms,0.574ms
Conv2d,"in_channels=16,kernel_size=3,out_channels=64,stride=2","(8, 16, 640, 640)",3.948ms,3.479ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=1","(1, 16, 96, 96)",0.428ms,0.075ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=1","(1, 16, 256, 256)",0.81ms,0.43ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=1","(1, 16, 640, 640)",3.029ms,2.661ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=1","(8, 16, 96, 96)",1.657ms,1.255ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=1","(8, 16, 256, 256)",9.725ms,9.296ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=1","(8, 16, 640, 640)",59.463ms,59.037ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=2","(1, 16, 96, 96)",0.401ms,0.056ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=2","(1, 16, 256, 256)",0.537ms,0.188ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=2","(1, 16, 640, 640)",0.798ms,0.386ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=2","(8, 16, 96, 96)",0.571ms,0.213ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=2","(8, 16, 256, 256)",0.955ms,0.497ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=8,stride=2","(8, 16, 640, 640)",3.301ms,2.863ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=1","(1, 16, 96, 96)",0.415ms,0.081ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=1","(1, 16, 256, 256)",0.872ms,0.506ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=1","(1, 16, 640, 640)",3.486ms,3.151ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=1","(8, 16, 96, 96)",1.673ms,1.296ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=1","(8, 16, 256, 256)",9.985ms,9.556ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=1","(8, 16, 640, 640)",61.100ms,60.682ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=2","(1, 16, 96, 96)",0.486ms,0.05ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=2","(1, 16, 256, 256)",0.53ms,0.097ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=2","(1, 16, 640, 640)",0.898ms,0.473ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=2","(8, 16, 96, 96)",0.647ms,0.178ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=2","(8, 16, 256, 256)",1.047ms,0.595ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=32,stride=2","(8, 16, 640, 640)",4.022ms,3.549ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=1","(1, 16, 96, 96)",0.5ms,0.14ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=1","(1, 16, 256, 256)",1.386ms,1.004ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=1","(1, 16, 640, 640)",6.659ms,6.300ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=1","(8, 16, 96, 96)",1.765ms,1.364ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=1","(8, 16, 256, 256)",10.438ms,10.004ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=1","(8, 16, 640, 640)",63.870ms,63.472ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=2","(1, 16, 96, 96)",0.476ms,0.082ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=2","(1, 16, 256, 256)",0.578ms,0.142ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=2","(1, 16, 640, 640)",1.220ms,0.807ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=2","(8, 16, 96, 96)",0.576ms,0.145ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=2","(8, 16, 256, 256)",1.461ms,0.989ms
Conv2d,"in_channels=16,kernel_size=5,out_channels=64,stride=2","(8, 16, 640, 640)",6.591ms,6.121ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=1","(1, 32, 96, 96)",0.527ms,0.032ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=1","(1, 32, 256, 256)",0.653ms,0.163ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=1","(1, 32, 640, 640)",1.478ms,0.977ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=1","(8, 32, 96, 96)",0.972ms,0.396ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=1","(8, 32, 256, 256)",3.729ms,3.266ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=1","(8, 32, 640, 640)",23.225ms,21.412ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=2","(1, 32, 96, 96)",0.408ms,0.056ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=2","(1, 32, 256, 256)",0.541ms,0.173ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=2","(1, 32, 640, 640)",0.758ms,0.3ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=2","(8, 32, 96, 96)",0.568ms,0.202ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=2","(8, 32, 256, 256)",0.841ms,0.382ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=8,stride=2","(8, 32, 640, 640)",2.660ms,2.200ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=1","(1, 32, 96, 96)",0.52ms,0.034ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=1","(1, 32, 256, 256)",0.695ms,0.203ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=1","(1, 32, 640, 640)",2.095ms,1.595ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=1","(8, 32, 96, 96)",0.744ms,0.257ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=1","(8, 32, 256, 256)",2.392ms,1.908ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=1","(8, 32, 640, 640)",13.288ms,12.797ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=2","(1, 32, 96, 96)",0.479ms,0.039ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=2","(1, 32, 256, 256)",0.559ms,0.079ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=2","(1, 32, 640, 640)",0.857ms,0.389ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=2","(8, 32, 96, 96)",0.608ms,0.148ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=2","(8, 32, 256, 256)",0.959ms,0.492ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=32,stride=2","(8, 32, 640, 640)",3.402ms,2.892ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=1","(1, 32, 96, 96)",0.492ms,0.062ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=1","(1, 32, 256, 256)",0.921ms,0.452ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=1","(1, 32, 640, 640)",3.526ms,3.025ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=1","(8, 32, 96, 96)",0.977ms,0.486ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=1","(8, 32, 256, 256)",4.231ms,3.731ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=1","(8, 32, 640, 640)",24.680ms,24.186ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=2","(1, 32, 96, 96)",0.483ms,0.062ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=2","(1, 32, 256, 256)",0.625ms,0.114ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=2","(1, 32, 640, 640)",1.088ms,0.644ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=2","(8, 32, 96, 96)",0.572ms,0.144ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=2","(8, 32, 256, 256)",1.257ms,0.794ms
Conv2d,"in_channels=32,kernel_size=3,out_channels=64,stride=2","(8, 32, 640, 640)",5.363ms,4.894ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=1","(1, 32, 96, 96)",0.812ms,0.459ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=1","(1, 32, 256, 256)",1.930ms,1.610ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=1","(1, 32, 640, 640)",3.954ms,3.412ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=1","(8, 32, 96, 96)",1.434ms,1.084ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=1","(8, 32, 256, 256)",4.518ms,4.173ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=1","(8, 32, 640, 640)",27.922ms,27.407ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=2","(1, 32, 96, 96)",0.43ms,0.108ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=2","(1, 32, 256, 256)",0.735ms,0.37ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=2","(1, 32, 640, 640)",1.194ms,0.736ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=2","(8, 32, 96, 96)",0.78ms,0.415ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=2","(8, 32, 256, 256)",1.425ms,0.933ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=8,stride=2","(8, 32, 640, 640)",5.973ms,5.515ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=1","(1, 32, 96, 96)",1.730ms,1.381ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=1","(1, 32, 256, 256)",5.786ms,5.450ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=1","(1, 32, 640, 640)",4.429ms,3.831ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=1","(8, 32, 96, 96)",2.535ms,2.169ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=1","(8, 32, 256, 256)",8.965ms,8.648ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=1","(8, 32, 640, 640)",119.439ms,36.511ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=2","(1, 32, 96, 96)",0.491ms,0.07ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=2","(1, 32, 256, 256)",0.602ms,0.144ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=2","(1, 32, 640, 640)",1.197ms,0.721ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=2","(8, 32, 96, 96)",0.655ms,0.185ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=2","(8, 32, 256, 256)",1.347ms,0.881ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=32,stride=2","(8, 32, 640, 640)",5.946ms,5.449ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=1","(1, 32, 96, 96)",2.807ms,2.493ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=1","(1, 32, 256, 256)",10.437ms,10.114ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=1","(1, 32, 640, 640)",6.653ms,6.159ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=1","(8, 32, 96, 96)",3.971ms,3.628ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=1","(8, 32, 256, 256)",15.133ms,14.800ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=1","(8, 32, 640, 640)",58.781ms,49.383ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=2","(1, 32, 96, 96)",0.53ms,0.131ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=2","(1, 32, 256, 256)",0.648ms,0.219ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=2","(1, 32, 640, 640)",1.665ms,1.199ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=2","(8, 32, 96, 96)",0.66ms,0.21ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=2","(8, 32, 256, 256)",1.914ms,1.458ms
Conv2d,"in_channels=32,kernel_size=5,out_channels=64,stride=2","(8, 32, 640, 640)",11.551ms,11.083ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=1","(1, 64, 96, 96)",0.521ms,0.048ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=1","(1, 64, 256, 256)",0.706ms,0.26ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=1","(1, 64, 640, 640)",2.072ms,1.572ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=1","(8, 64, 96, 96)",0.724ms,0.288ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=1","(8, 64, 256, 256)",2.436ms,1.956ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=1","(8, 64, 640, 640)",12.938ms,12.401ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=2","(1, 64, 96, 96)",0.426ms,0.111ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=2","(1, 64, 256, 256)",0.641ms,0.338ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=2","(1, 64, 640, 640)",1.021ms,0.562ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=2","(8, 64, 96, 96)",0.753ms,0.423ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=2","(8, 64, 256, 256)",1.204ms,0.721ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=8,stride=2","(8, 64, 640, 640)",4.693ms,4.172ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=1","(1, 64, 96, 96)",0.538ms,0.052ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=1","(1, 64, 256, 256)",0.741ms,0.301ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=1","(1, 64, 640, 640)",2.419ms,1.920ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=1","(8, 64, 96, 96)",0.769ms,0.343ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=1","(8, 64, 256, 256)",2.862ms,2.370ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=1","(8, 64, 640, 640)",16.220ms,15.730ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=2","(1, 64, 96, 96)",0.493ms,0.067ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=2","(1, 64, 256, 256)",0.55ms,0.14ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=2","(1, 64, 640, 640)",1.102ms,0.644ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=2","(8, 64, 96, 96)",0.659ms,0.242ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=2","(8, 64, 256, 256)",1.280ms,0.819ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=32,stride=2","(8, 64, 640, 640)",5.362ms,4.829ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=1","(1, 64, 96, 96)",0.557ms,0.091ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=1","(1, 64, 256, 256)",1.016ms,0.569ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=1","(1, 64, 640, 640)",3.943ms,3.443ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=1","(8, 64, 96, 96)",1.073ms,0.62ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=1","(8, 64, 256, 256)",4.952ms,4.356ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=1","(8, 64, 640, 640)",29.421ms,28.913ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=2","(1, 64, 96, 96)",0.53ms,0.112ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=2","(1, 64, 256, 256)",0.585ms,0.165ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=2","(1, 64, 640, 640)",1.408ms,0.942ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=2","(8, 64, 96, 96)",0.613ms,0.212ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=2","(8, 64, 256, 256)",1.622ms,1.161ms
Conv2d,"in_channels=64,kernel_size=3,out_channels=64,stride=2","(8, 64, 640, 640)",7.677ms,7.205ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=1","(1, 64, 96, 96)",1.116ms,0.774ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=1","(1, 64, 256, 256)",3.169ms,2.887ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=1","(1, 64, 640, 640)",5.837ms,5.345ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=1","(8, 64, 96, 96)",2.025ms,1.728ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=1","(8, 64, 256, 256)",7.225ms,6.901ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=1","(8, 64, 640, 640)",51.885ms,42.720ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=2","(1, 64, 96, 96)",0.527ms,0.187ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=2","(1, 64, 256, 256)",0.662ms,0.273ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=2","(1, 64, 640, 640)",1.618ms,1.184ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=2","(8, 64, 96, 96)",0.64ms,0.276ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=2","(8, 64, 256, 256)",1.996ms,1.539ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=8,stride=2","(8, 64, 640, 640)",11.276ms,10.817ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=1","(1, 64, 96, 96)",2.950ms,2.611ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=1","(1, 64, 256, 256)",10.704ms,10.419ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=1","(1, 64, 640, 640)",7.300ms,6.811ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=1","(8, 64, 96, 96)",4.042ms,3.739ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=1","(8, 64, 256, 256)",15.423ms,15.083ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=1","(8, 64, 640, 640)",61.220ms,52.144ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=2","(1, 64, 96, 96)",0.599ms,0.151ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=2","(1, 64, 256, 256)",0.727ms,0.319ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=2","(1, 64, 640, 640)",2.023ms,1.540ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=2","(8, 64, 96, 96)",0.781ms,0.351ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=2","(8, 64, 256, 256)",2.420ms,1.982ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=32,stride=2","(8, 64, 640, 640)",12.291ms,11.730ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=1","(1, 64, 96, 96)",5.259ms,4.950ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=1","(1, 64, 256, 256)",20.193ms,19.922ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=1","(1, 64, 640, 640)",11.179ms,10.709ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=1","(8, 64, 96, 96)",6.586ms,6.280ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=1","(8, 64, 256, 256)",25.977ms,25.648ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=1","(8, 64, 640, 640)",98.282ms,88.948ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=2","(1, 64, 96, 96)",0.65ms,0.247ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=2","(1, 64, 256, 256)",0.797ms,0.406ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=2","(1, 64, 640, 640)",2.709ms,2.246ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=2","(8, 64, 96, 96)",0.809ms,0.388ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=2","(8, 64, 256, 256)",3.188ms,2.724ms
Conv2d,"in_channels=64,kernel_size=5,out_channels=64,stride=2","(8, 64, 640, 640)",17.490ms,16.973ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=1","(1, 128, 96, 96)",0.544ms,0.065ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=1","(1, 128, 256, 256)",0.89ms,0.372ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=1","(1, 128, 640, 640)",2.791ms,2.315ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=1","(8, 128, 96, 96)",0.871ms,0.405ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=1","(8, 128, 256, 256)",3.314ms,2.820ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=1","(8, 128, 640, 640)",20.606ms,20.092ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=2","(1, 128, 96, 96)",0.564ms,0.21ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=2","(1, 128, 256, 256)",1.046ms,0.672ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=2","(1, 128, 640, 640)",1.340ms,0.878ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=2","(8, 128, 96, 96)",1.076ms,0.699ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=2","(8, 128, 256, 256)",1.561ms,1.131ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=8,stride=2","(8, 128, 640, 640)",7.013ms,6.553ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=1","(1, 128, 96, 96)",0.566ms,0.068ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=1","(1, 128, 256, 256)",0.966ms,0.419ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=1","(1, 128, 640, 640)",3.287ms,2.790ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=1","(8, 128, 96, 96)",0.947ms,0.455ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=1","(8, 128, 256, 256)",3.938ms,3.445ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=1","(8, 128, 640, 640)",24.509ms,23.930ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=2","(1, 128, 96, 96)",0.552ms,0.11ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=2","(1, 128, 256, 256)",0.715ms,0.236ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=2","(1, 128, 640, 640)",1.583ms,1.113ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=2","(8, 128, 96, 96)",0.915ms,0.452ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=2","(8, 128, 256, 256)",1.890ms,1.428ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=32,stride=2","(8, 128, 640, 640)",10.043ms,9.575ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=1","(1, 128, 96, 96)",0.637ms,0.16ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=1","(1, 128, 256, 256)",1.428ms,0.928ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=1","(1, 128, 640, 640)",5.273ms,4.785ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=1","(8, 128, 96, 96)",1.370ms,0.861ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=1","(8, 128, 256, 256)",6.521ms,6.015ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=1","(8, 128, 640, 640)",46.365ms,45.835ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=2","(1, 128, 96, 96)",0.628ms,0.191ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=2","(1, 128, 256, 256)",0.764ms,0.298ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=2","(1, 128, 640, 640)",2.167ms,1.667ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=2","(8, 128, 96, 96)",0.831ms,0.377ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=2","(8, 128, 256, 256)",4.384ms,3.865ms
Conv2d,"in_channels=128,kernel_size=3,out_channels=64,stride=2","(8, 128, 640, 640)",24.836ms,24.357ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=1","(1, 128, 96, 96)",1.779ms,1.451ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=1","(1, 128, 256, 256)",5.853ms,5.521ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=1","(1, 128, 640, 640)",10.686ms,10.194ms
Conv2d,"in_channels=128,kernel_size=5,out_channels=8,stride=1","(8, 128, 96, 96)",3.517ms,3.152ms
